SourceID,SourceEdition,SourceItemKey,NoteID,Decision,Status
rj_start1,klose-current,grade4-upper-u04-o012|tell,KV000827,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u04-o013|everyone,KV000332,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u04-o014|ms,KV000828,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u05-o001|speak,KV000705,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o002|weather,KV000166,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o003|sunny,KV000164,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o004|hot,KV000173,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o005|bad,KV000226,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o006|cold,KV000176,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o007|windy,KV000163,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o008|cloudy,KV000161,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o009|rainy,KV000160,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o010|snowy,KV000162,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o011|cool,KV000175,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o012|warm,KV000174,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o013|tomorrow,KV000309,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o014|rain,KV000829,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u05-o015|closed,KV000830,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u05-o016|film,KV000390,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o017|idea,KV000783,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o018|fly,KV000831,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u05-o019|kite,KV000832,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u05-o020|snowman,KV000833,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u05-o021|fun,KV000362,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o022|their,KV000368,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o023|swim,KV000157,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u05-o024|sydney,KV000697,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o001|whose,KV000834,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u06-o002|sweater,KV000257,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o003|sock,KV000096,reuse-morphology,confirmed
rj_start1,klose-current,grade4-upper-u06-o004|mine,KV000835,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u06-o005|wear,KV000262,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o006|shirt,KV000092,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o007|coat,KV000255,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o008|dress,KV000095,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o009|which,KV000836,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u06-o010|season,KV000178,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o011|winter,KV000172,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o012|snow,KV000392,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o013|get together,KV000837,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u06-o014|spring,KV000169,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o015|summer,KV000170,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o016|autumn,KV000171,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o017|t-shirt,KV000093,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o018|fall,KV000754,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u06-o019|leaf,KV000838,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u06-o020|glove,KV000259,reuse-morphology,confirmed
rj_start1,klose-current,grade4-upper-u06-o021|then,KV000839,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o001|sorry,KV000076,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o002|hurry up,KV000840,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o003|late,KV000353,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o004|class,KV000211,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o005|ready,KV000841,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o006|rule,KV000842,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o007|classroom,KV000292,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o008|turn off,KV000843,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o009|light,KV000062,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o010|blackboard,KV000056,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o011|desk,KV000055,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o012|chair,KV000054,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o013|tidy,KV000844,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o014|music,KV000286,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o015|door,KV000064,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o016|window,KV000845,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o017|fan,KV000900,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-lower-u01-o018|when,KV000197,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u01-o019|understand,KV000846,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o020|wall,KV000847,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o021|newspaper,KV000848,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o022|hand out,KV000849,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u01-o023|workbook,KV000850,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o001|watch,KV000851,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o002|tv,KV000852,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o003|homework,KV000853,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o004|first,KV000279,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o005|wet,KV000673,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o006|run,KV000334,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o007|living room,KV000337,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o008|safe,KV000419,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o009|word,KV000854,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o010|wash,KV000855,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o011|helpful,KV000524,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o012|loud,KV000856,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o013|sleep,KV000857,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o014|bedroom,KV000336,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o015|kitchen,KV000341,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o016|study,KV000340,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o017|bathroom,KV000338,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u02-o018|think,KV000858,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o019|work,KV000859,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o020|hard,KV000860,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o021|follow,KV000861,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u02-o022|feel,KV000862,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u03-o001|over,KV000863,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-lower-u03-o002|kid,KV000864,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u03-o003|dinner,KV000865,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u03-o004|art,KV000288,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o005|lunch,KV000866,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u03-o006|maths,KV000287,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o007|get up,KV000190,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o008|go to school,KV000192,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o009|go home,KV000194,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o010|go to bed,KV000196,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o011|want,KV000084,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o012|clock,KV000704,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o013|just,KV000437,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u03-o014|minute,KV000867,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o001|trousers,KV000260,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u04-o002|pair,KV000868,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o003|clothes,KV000869,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o004|those,KV000870,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o005|shorts,KV000097,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u04-o006|jacket,KV000258,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u04-o007|skirt,KV000094,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u04-o008|dear,KV000214,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u04-o009|expensive,KV000871,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o010|take,KV000872,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o011|cheap,KV000873,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o012|shoe,KV000256,reuse-morphology,confirmed
rj_start1,klose-current,grade4-lower-u04-o013|beautiful,KV000316,reuse-existing,confirmed
rj_start1,klose-current,grade4-lower-u04-o014|hat,KV000874,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o015|sunglasses,KV000875,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o016|free,KV000876,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-lower-u04-o017|large,KV000877,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o018|size,KV000878,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o019|list,KV000879,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o020|try on,KV000880,new-learning-unit,confirmed
rj_start1,klose-current,grade4-lower-u04-o021|any,KV000881,new-learning-unit,confirmed
