SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
jijiao_start3|g3-upper|r027|friend,jijiao_start3,3年级上,3,上,27,friend,friend,[frend],[frend],n. 朋友;助手;赞助者,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r028|window,jijiao_start3,3年级上,3,上,28,window,window,[ˈwɪndəʊ],[ˈwɪndoʊ],n. 窗;窗口;窗户,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r029|red,jijiao_start3,3年级上,3,上,29,red,red,[red],[red],"n. 红色,红颜料;赤字 adj. 红色的;红肿的,充血的",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r030|yellow,jijiao_start3,3年级上,3,上,30,yellow,yellow,[ˈjeləʊ],[ˈjeloʊ],n. 黄色;黄种人;黄色颜料 adj. 黄色的;黄皮肤的 vt. 使变黄或发黄 vi. 变黄或发黄,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r031|blue,jijiao_start3,3年级上,3,上,31,blue,blue,[bluː],[bluː],"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r032|green,jijiao_start3,3年级上,3,上,32,green,green,[ɡriːn],[ɡriːn],n. 绿色;青春 adj. 绿色的;青春的 vt. 使...变绿色 vi. 变绿色,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r033|orange,jijiao_start3,3年级上,3,上,33,orange,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],adj. 橙色的;橘色的 n. 橙;橙色;桔子,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r034|brown,jijiao_start3,3年级上,3,上,34,brown,brown,[braʊn],[braʊn],"n. 褐色,棕色 adj. 棕色的,褐色的;太阳晒黑的 vt. 使变成褐色 vi. 变成褐色",冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r035|white,jijiao_start3,3年级上,3,上,35,white,white,[waɪt],[waɪt],n. 白色;洁白;白种人 adj. 白色的;白种的;纯洁的,冀教版三年级起点三年级上.xlsx
jijiao_start3|g3-upper|r036|black,jijiao_start3,3年级上,3,上,36,black,black,[blæk],[blæk],n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,冀教版三年级起点三年级上.xlsx
