LearnerProfile,LearnerLevel,NoteID,CurrentStatus,CurrentLearningOrder,ProposedStatus,ProposedLearningTag,ProposedLearningOrder,AdmissionAction,PriorityDistinctSourceIDs,PrioritySourceOccurrences,PriorityTokenCount,OrderingPolicy,Reason
klose,4,KV002365,,,allowed,learning::klose::third-party-primary,000845,add-allowed,14,17,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002366,,,allowed,learning::klose::third-party-primary,001275,add-allowed,4,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002367,,,allowed,learning::klose::third-party-primary,002285,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002368,,,allowed,learning::klose::third-party-primary,002286,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002369,,,allowed,learning::klose::third-party-primary,001662,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002370,,,allowed,learning::klose::third-party-primary,001663,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002371,,,allowed,learning::klose::third-party-primary,001408,add-allowed,3,3,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002372,,,allowed,learning::klose::third-party-primary,002287,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002373,,,allowed,learning::klose::third-party-primary,001337,add-allowed,3,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002374,,,allowed,learning::klose::third-party-primary,001276,add-allowed,4,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002375,,,allowed,learning::klose::third-party-primary,001664,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002376,,,allowed,learning::klose::third-party-primary,002288,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002377,,,allowed,learning::klose::third-party-primary,002289,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002378,,,allowed,learning::klose::third-party-primary,001666,add-allowed,2,2,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002379,,,allowed,learning::klose::third-party-primary,002290,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002380,,,allowed,learning::klose::third-party-primary,002291,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002381,,,allowed,learning::klose::third-party-primary,002292,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002382,,,allowed,learning::klose::third-party-primary,001191,add-allowed,5,5,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002383,,,allowed,learning::klose::third-party-primary,001131,add-allowed,5,6,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002384,,,allowed,learning::klose::third-party-primary,001277,add-allowed,4,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002385,,,allowed,learning::klose::third-party-primary,002293,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002386,,,allowed,learning::klose::third-party-primary,001278,add-allowed,4,4,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002387,,,allowed,learning::klose::third-party-primary,002294,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
klose,4,KV002388,,,allowed,learning::klose::third-party-primary,002295,add-allowed,1,1,1,preserve-existing-allowed-then-cross-source-prevalence-v1,resolved-third-party-learner-identity
