ProvisionalIdentityKey,CanonicalMatchKey,DisplayWord,TargetSense,SourceMatchKeys,SourceOccurrenceCount,DecisionStatus
candidate:safe,safe,safe,,safe,2,reviewed
candidate:safety,safety,safety,,safety,1,reviewed
candidate:saleswoman,saleswoman,saleswoman,,saleswoman,1,reviewed
candidate:same,same,same,,same,2,reviewed
candidate:sandwich,sandwich,sandwich,三明治,sandwich,1,reviewed
candidate:saturday,saturday,Saturday,,saturday,3,reviewed
candidate:save,save,save,,save,1,reviewed
candidate:say,say,say,,say,2,reviewed
candidate:scared,scared,scared,,scared,1,reviewed
candidate:scarf,scarf,scarf,围巾,scarf,1,reviewed
candidate:school,school,school,,school,3,reviewed
candidate:schoolbag,schoolbag,schoolbag,,schoolbag,3,reviewed
candidate:science,science,science,,science,2,reviewed
candidate:scientist,scientist,scientist,,scientist,1,reviewed
candidate:scissors,scissors,scissors,,scissors,1,reviewed
candidate:sea,sea,sea,,sea,2,reviewed
candidate:season,season,season,,season,2,reviewed
candidate:second,second,second,,second,2,reviewed
candidate:see,see,see,,see,1,reviewed
candidate:sell,sell,sell,,sell,1,reviewed
candidate:september,september,September,,september,2,reviewed
candidate:seven,seven,seven,,seven,2,reviewed
candidate:seventeenth,seventeenth,seventeenth,,seventeenth,1,reviewed
candidate:seventh,seventh,seventh,,seventh,1,reviewed
candidate:seventy,seventy,seventy,,seventy,1,reviewed
candidate:shape,shape,shape,,shape,1,reviewed
candidate:shark,shark,shark,鲨鱼,shark,1,reviewed
candidate:she,she,she,,she,2,reviewed
candidate:sheep,sheep,sheep,,sheep,2,reviewed
candidate:ship,ship,ship,,ship,1,reviewed
candidate:shirt,shirt,shirt,,shirt,3,reviewed
candidate:shoe,shoe,shoe,,shoe|shoes,2,reviewed
candidate:shop,shop,shop,,shop,2,reviewed
candidate:short,short,short,,short,3,reviewed
candidate:shorts,shorts,shorts,,shorts,3,reviewed
candidate:should,should,should,,should,2,reviewed
candidate:shoulder,shoulder,shoulder,,shoulder,1,reviewed
candidate:show,show,show,,show,1,reviewed
candidate:sick,sick,sick,生病的；不舒服的,sick,1,reviewed
candidate:sidewalk,sidewalk,sidewalk,,sidewalk,1,reviewed
candidate:silk,silk,silk,丝绸；蚕丝,silk,1,reviewed
candidate:sing,sing,sing,,sing,1,reviewed
candidate:singer,singer,singer,,singer,1,reviewed
candidate:sister,sister,sister,,sister,3,reviewed
candidate:sit,sit,sit,,sit,1,reviewed
candidate:six,six,six,六,six,1,reviewed
candidate:sixteen,sixteen,sixteen,,sixteen,1,reviewed
candidate:sixth,sixth,sixth,,sixth,1,reviewed
candidate:sixty,sixty,sixty,,sixty,1,reviewed
candidate:ski,ski,ski,,ski,2,reviewed
candidate:skirt,skirt,skirt,,skirt,4,reviewed
candidate:sky,sky,sky,,sky,1,reviewed
candidate:sleep,sleep,sleep,,sleep,1,reviewed
candidate:sleepy,sleepy,sleepy,,sleepy,1,reviewed
candidate:slim,slim,slim,苗条的；修长的,slim,1,reviewed
candidate:slow,slow,slow,,slow,1,reviewed
candidate:slowly,slowly,slowly,,slowly,1,reviewed
candidate:small,small,small,,small,2,reviewed
candidate:smart,smart,smart,,smart,2,reviewed
candidate:smile,smile,smile,,smile,1,reviewed
candidate:snake,snake,snake,,snake,2,reviewed
candidate:snow,snow,snow,,snow,2,reviewed
candidate:snowy,snowy,snowy,,snowy,2,reviewed
candidate:sock,sock,sock,,sock|socks,3,reviewed
candidate:sofa,sofa,sofa,,sofa,2,reviewed
candidate:some,some,some,,some,1,reviewed
candidate:sometimes,sometimes,sometimes,,sometimes,2,reviewed
candidate:son,son,son,,son,1,reviewed
candidate:song,song,song,,song,1,reviewed
candidate:soon,soon,soon,,soon,2,reviewed
candidate:sorry,sorry,sorry,,sorry,2,reviewed
candidate:soup,soup,soup,,soup,2,reviewed
candidate:sour,sour,sour,,sour,1,reviewed
candidate:south,south,south,南；南方,south,1,reviewed
candidate:special,special,special,特别的；特殊的,special,2,reviewed
candidate:spend,spend,spend,花费；度过（时间）,spend,1,reviewed
candidate:spicy,spicy,spicy,,spicy,1,reviewed
candidate:spoon,spoon,spoon,,spoon,1,reviewed
candidate:sport,sport,sport,,sport,1,reviewed
candidate:spring,spring,spring,,spring,2,reviewed
candidate:squirrel,squirrel,squirrel,松鼠,squirrel,1,reviewed
candidate:stadium,stadium,stadium,,stadium,1,reviewed
candidate:stage,stage,stage,,stage,1,reviewed
candidate:stamp,stamp,stamp,,stamp,2,reviewed
candidate:stand,stand,stand,,stand,1,reviewed
candidate:start,start,start,,start,1,reviewed
candidate:station,station,station,,station,2,reviewed
candidate:stomachache,stomachache,stomachache,,stomachache,1,reviewed
candidate:stone,stone,stone,石头；石块,stone,1,reviewed
candidate:story,story,story,,story,2,reviewed
candidate:straight,straight,straight,直的；笔直的,straight,1,reviewed
candidate:street,street,street,,street,3,reviewed
candidate:strong,strong,strong,,strong,1,reviewed
candidate:student,student,student,,student,1,reviewed
candidate:subject,subject,subject,,subject,2,reviewed
candidate:summer,summer,summer,,summer,2,reviewed
candidate:sun,sun,sun,,sun,2,reviewed
candidate:sunday,sunday,Sunday,,sunday,2,reviewed
candidate:sunny,sunny,sunny,,sunny,2,reviewed
candidate:sunrise,sunrise,sunrise,,sunrise,1,reviewed
candidate:supermarket,supermarket,supermarket,超市,supermarket,3,reviewed
candidate:supper,supper,supper,,supper,1,reviewed
candidate:sure,sure,sure,,sure,2,reviewed
candidate:surprised,surprised,surprised,,surprised,1,reviewed
candidate:swan,swan,swan,天鹅,swan,1,reviewed
candidate:sweater,sweater,sweater,,sweater,1,reviewed
candidate:sweet,sweet,sweet,,sweet,1,reviewed
candidate:swim,swim,swim,,swim,4,reviewed
candidate:sydney,sydney,Sydney,,sydney,1,reviewed
candidate:t-shirt,t-shirt,T-shirt,T恤衫,t-shirt,2,reviewed
candidate:table,table,table,,table,1,reviewed
candidate:tail,tail,tail,尾巴,tail,1,reviewed
candidate:take,take,take,,take,1,reviewed
candidate:talk,talk,talk,,talk,2,reviewed
candidate:tall,tall,tall,,tall,2,reviewed
candidate:taxi,taxi,taxi,,taxi,1,reviewed
candidate:tea,tea,tea,,tea,2,reviewed
candidate:teach,teach,teach,,teach,3,reviewed
candidate:teacher,teacher,teacher,,teacher,3,reviewed
candidate:team,team,team,,team,1,reviewed
candidate:temple,temple,temple,,temple,1,reviewed
candidate:ten,ten,ten,,ten,1,reviewed
candidate:tennis,tennis,tennis,,tennis,1,reviewed
candidate:tenth,tenth,tenth,,10th|tenth,3,reviewed
candidate:test,test,test,测试；考试,test,1,reviewed
candidate:textbook,textbook,textbook,,textbook,1,reviewed
candidate:thank,thank,thank,,thank,2,reviewed
candidate:thanks,thanks,thanks,,thanks,1,reviewed
candidate:thanksgiving,thanksgiving,Thanksgiving,,thanksgiving,1,reviewed
candidate:that,that,that,,that,2,reviewed
candidate:the,the,the,,the,2,reviewed
candidate:theatre,theatre,theatre,,theatre,1,reviewed
candidate:their,their,their,,their,2,reviewed
candidate:them,them,them,,them,1,reviewed
candidate:then,then,then,,then,1,reviewed
candidate:these,these,these,,these,1,reviewed
candidate:they,they,they,,they,2,reviewed
candidate:thick,thick,thick,,thick,1,reviewed
candidate:thin,thin,thin,,thin,2,reviewed
candidate:thing,thing,thing,,thing,1,reviewed
candidate:think,think,think,,think,1,reviewed
candidate:third,third,third,,third,2,reviewed
candidate:thirsty,thirsty,thirsty,,thirsty,2,reviewed
candidate:thirteen,thirteen,thirteen,十三,thirteen,1,reviewed
candidate:thirteenth,thirteenth,thirteenth,,thirteenth,1,reviewed
candidate:thirty,thirty,thirty,,thirty,2,reviewed
candidate:this,this,this,,this,2,reviewed
candidate:those,those,those,,those,1,reviewed
candidate:three,three,three,,three,2,reviewed
candidate:thursday,thursday,Thursday,,thursday,3,reviewed
candidate:tie,tie,tie,,tie,1,reviewed
candidate:tiger,tiger,tiger,,tiger,4,reviewed
candidate:time,time,time,,time,2,reviewed
candidate:tired,tired,tired,,tired,2,reviewed
candidate:to,to,to,,to,2,reviewed
candidate:today,today,today,,today,2,reviewed
candidate:together,together,together,,together,3,reviewed
candidate:toilet,toilet,toilet,,toilet,2,reviewed
candidate:tomato,tomato,tomato,,tomato,2,reviewed
candidate:tomorrow,tomorrow,tomorrow,,tomorrow,2,reviewed
candidate:too,too,too,,too,2,reviewed
candidate:toothache,toothache,toothache,,toothache,1,reviewed
candidate:toronto,toronto,Toronto,,toronto,1,reviewed
candidate:toy,toy,toy,,toy,2,reviewed
candidate:train,train,train,,train,1,reviewed
candidate:transportation,transportation,transportation,,transportation,1,reviewed
candidate:travel,travel,travel,,travel,2,reviewed
candidate:tree,tree,tree,,tree,2,reviewed
candidate:trousers,trousers,trousers,,trousers,2,reviewed
candidate:trunk,trunk,trunk,象鼻,trunk,1,reviewed
candidate:try,try,try,,try,1,reviewed
candidate:tuesday,tuesday,Tuesday,,tuesday,3,reviewed
candidate:turn,turn,turn,,turn,1,reviewed
candidate:turtle,turtle,turtle,,turtle,1,reviewed
candidate:tusk,tusk,tusk,长牙；象牙,tusk,1,reviewed
candidate:tv,tv,TV,,tv,1,reviewed
candidate:twelfth,twelfth,twelfth,,12th|twelfth,3,reviewed
candidate:twelve,twelve,twelve,,twelve,2,reviewed
candidate:twenty,twenty,twenty,,twenty,2,reviewed
candidate:twenty-fifth,twenty-fifth,twenty-fifth,,25th|twenty-fifth,2,reviewed
candidate:two,two,two,,two,2,reviewed
candidate:ufo,ufo,UFO,,ufo,1,reviewed
candidate:umbrella,umbrella,umbrella,,umbrella,1,reviewed
candidate:uncle,uncle,uncle,,uncle,2,reviewed
candidate:under,under,under,,under,2,reviewed
candidate:uniform,uniform,uniform,,uniform,2,reviewed
candidate:university,university,university,,university,1,reviewed
candidate:up,up,up,,up,1,reviewed
candidate:upset,upset,upset,,upset,1,reviewed
candidate:use,use,use,,use,2,reviewed
candidate:usually,usually,usually,,usually,2,reviewed
candidate:vacation,vacation,vacation,,vacation,2,reviewed
candidate:van,van,van,,van,1,reviewed
candidate:vase,vase,vase,,vase,1,reviewed
candidate:vegetable,vegetable,vegetable,,vegetable|vegetables,3,reviewed
candidate:vest,vest,vest,,vest,1,reviewed
candidate:visitor,visitor,visitor,,visitor,1,reviewed
candidate:voice,voice,voice,,voice,1,reviewed
candidate:walk,walk,walk,,walk,1,reviewed
candidate:wall,wall,wall,,wall,2,reviewed
candidate:want,want,want,,want,2,reviewed
candidate:wardrobe,wardrobe,wardrobe,,wardrobe,1,reviewed
candidate:warm,warm,warm,,warm,2,reviewed
candidate:wash,wash,wash,,wash,1,reviewed
candidate:watch,watch,watch,看；观看,watch,1,reviewed
candidate:water,water,water,,water,2,reviewed
candidate:way,way,way,,way,1,reviewed
candidate:we,we,we,,we,2,reviewed
candidate:wear,wear,wear,,wear,1,reviewed
candidate:weather,weather,weather,,weather,2,reviewed
candidate:wednesday,wednesday,Wednesday,,wednesday,3,reviewed
candidate:week,week,week,,week,2,reviewed
candidate:weekend,weekend,weekend,,weekend,1,reviewed
candidate:west,west,west,,west,2,reviewed
candidate:wet,wet,wet,湿的；潮湿的,wet,1,reviewed
candidate:whale,whale,whale,鲸；鲸鱼,whale,1,reviewed
candidate:what,what,what,,what,2,reviewed
candidate:when,when,when,,when,2,reviewed
candidate:where,where,where,,where,2,reviewed
candidate:which,which,which,,which,1,reviewed
candidate:white,white,white,,white,1,reviewed
candidate:who,who,who,,who,1,reviewed
candidate:whose,whose,whose,,whose,1,reviewed
candidate:why,why,why,,why,2,reviewed
candidate:wide,wide,wide,,wide,1,reviewed
candidate:will,will,will,,will,1,reviewed
candidate:win,win,win,赢；获胜,win,1,reviewed
candidate:window,window,window,,window,2,reviewed
candidate:windy,windy,windy,,windy,2,reviewed
candidate:winter,winter,winter,,winter,2,reviewed
candidate:with,with,with,,with,2,reviewed
candidate:without,without,without,,without,1,reviewed
candidate:woman,woman,woman,,woman,2,reviewed
candidate:women,women,women,,women,1,reviewed
candidate:wonderful,wonderful,wonderful,,wonderful,2,reviewed
candidate:wood,wood,wood,,wood,2,reviewed
candidate:word,word,word,,word,1,reviewed
candidate:work,work,work,,work,1,reviewed
candidate:worker,worker,worker,,worker,2,reviewed
candidate:world,world,world,,world,1,reviewed
candidate:worried,worried,worried,,worried,2,reviewed
candidate:worry,worry,worry,,worry,1,reviewed
candidate:would,would,would,,would,1,reviewed
candidate:wow,wow,wow,哇（表示惊讶或赞叹）,wow,1,reviewed
candidate:write,write,write,,write,1,reviewed
candidate:writer,writer,writer,,writer,1,reviewed
candidate:wrong,wrong,wrong,,wrong,1,reviewed
candidate:yard,yard,yard,,yard,1,reviewed
candidate:year,year,year,,year,2,reviewed
candidate:yellow,yellow,yellow,黄色；黄色的,yellow,2,reviewed
candidate:yes,yes,yes,是；是的,yes,2,reviewed
candidate:yesterday,yesterday,yesterday,,yesterday,1,reviewed
candidate:yogurt,yogurt,yogurt,,yogurt,1,reviewed
candidate:you,you,you,,you,2,reviewed
candidate:young,young,young,,young,2,reviewed
candidate:your,your,your,,your,3,reviewed
candidate:zebra,zebra,zebra,,zebra,1,reviewed
candidate:zoo,zoo,zoo,,zoo,3,reviewed
