Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
walking the dog,,,无,无,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
watering the plants,,,无,无,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
cleaning the room,,,无,无,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
listening to music,,,无,无,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
watching TV,,,看电视,看电视；正在看电视；他在看电视,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
feeding the fish,,,喂鱼,"喂鱼
晕船",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
play with,[pleɪ wɪð],[pleɪ wɪð],na. 玩弄(火等),na. 玩弄(火等)；以…自娱,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
in one hour,,,无,无,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
everyone,[ˈevriwʌn],[ˈevriwʌn],每个人,"n. 每个人
pron. 每个人；人人",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
children,[ˈtʃɪldrən],[ˈtʃɪldrən],孩子们（child的复数）,n. 孩子们（child的复数）,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
run,[rʌn],[rʌn],奔跑,"n. 奔跑；赛跑；趋向；奔跑的路程
vt. 管理，经营；运行；参赛
vi. 经营；奔跑；运转",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
home,[həʊm],[hoʊm],家，住宅,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
bedroom,[ˈbedruːm],[ˈbedruːm; ˈbedrʊm],卧室,"n. 卧室
adj. 两性关系的；城郊住宅区的",3年级下,rj_start1 grade::3 semester::下 appears::3年级下
living room,['lɪvɪŋ ru:m],[ˈlɪvɪŋ ruːm],客厅,n. 客厅；起居室,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
bathroom,[ˈbɑːθruːm; ˈbɑːθrʊm],[ˈbæθruːm],浴室,n. 浴室；厕所；盥洗室,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
dining room,,,饭厅,n. 饭厅；餐厅,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
study,[ˈstʌdi],[ˈstʌdi],学习，研究,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功",3年级下|6年级上,rj_start1 grade::3 semester::下 appears::3年级下 appears::6年级上
kitchen,[ˈkɪtʃɪn],[ˈkɪtʃɪn],厨房,n. 厨房；炊具；炊事人员,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
for rent,,,na. 出租的,na. 出租的；招租,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
sofa,[ˈsəʊfə],[ˈsoʊfə],沙发,n. 沙发；长椅,3年级下,rj_start1 grade::3 semester::下 appears::3年级下
