NoteID,Word,FirstGrade,ExampleSentence,Reason
KV000980,Spain,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000981,a.m.,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000982,p.m.,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000983,last,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000984,need,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000985,play,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000986,letter,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000987,island,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000988,cave,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000989,go swimming,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000990,picnic,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000991,go on a picnic,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000992,pick apples,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000993,best,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000994,pink,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000995,paint,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000996,few,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000997,a few,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000998,sports meet,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV000999,contest,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001000,labour,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001001,Labour Day,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001002,national,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001003,riddle,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001004,act,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001005,act out,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001006,RSVP,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001007,by,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001008,fourth (4th),5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001009,twentieth (20th),5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001010,twenty-first (21st),5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001011,twenty-third (23rd),5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001012,thirtieth (30th),5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001013,other,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001014,show,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001015,festival,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001016,kitten,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001017,diary,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001018,still,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001019,noise,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001020,fur,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001021,open,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001022,yours,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001023,hers,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001024,theirs,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001025,ours,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001026,each,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001027,each other,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001028,like,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001029,eating lunch,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001030,reading a book,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001031,keep,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001032,keep to the right,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001033,keep your desk clean,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001034,talk quietly,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001035,turn,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001036,take turns,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001037,bamboo,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001038,its,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
KV001039,show,5,,grade5-6-current-new-note-needs-learner-content-and-lexical-facts
