SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
niujin_shanghai_start1|g1-upper|r022|fat,niujin_shanghai_start1,1年级上,1,上,22,fat,fat,[fæt],[fæt],"n. 脂肪,肥肉 adj. 肥的,胖的;油腻的;丰满的 vt. 养肥;在...中加入脂肪 vi. 长肥",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r023|thin,niujin_shanghai_start1,1年级上,1,上,23,thin,thin,[θɪn],[θɪn],n. 细小部分 adj. 薄的;瘦的;稀薄的;微弱的 vt. 使瘦;使淡;使稀疏 vi. 变薄;变瘦;变淡 adv. 稀疏地;微弱地,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r024|tall,niujin_shanghai_start1,1年级上,1,上,24,tall,tall,[tɔːl],[tɔːl],adj. 高的;长的;过分的;夸大的 adv. 夸大地,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r025|short,niujin_shanghai_start1,1年级上,1,上,25,short,short,[ʃɔːt],[ʃɔːrt],"n. 短;缺乏;短路;短裤 adj. 短的;不足的;矮的,低的 adv. 不足;突然;唐突地",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r026|one,niujin_shanghai_start1,1年级上,1,上,26,one,one,[wʌn],[wʌn],pron. 一个人;任何人 adj. 一的;唯一的 n. 一 num. 一;一个,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r027|two,niujin_shanghai_start1,1年级上,1,上,27,two,two,[tuː],[tuː],num. 二 n. 两个 adj. 两个的,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r028|three,niujin_shanghai_start1,1年级上,1,上,28,three,three,[θriː],[θriː],"num. 三 n. 三,三个 adj. 三的,三个的",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r029|four,niujin_shanghai_start1,1年级上,1,上,29,four,four,[fɔː(r)],[fɔːr],num. 四;四个 adj. 四的;四个的,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r030|five,niujin_shanghai_start1,1年级上,1,上,30,five,five,[faɪv],[faɪv],"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r031|six,niujin_shanghai_start1,1年级上,1,上,31,six,six,[sɪks],[sɪks],"num. 六,六个 n. 六,六个",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r032|apple,niujin_shanghai_start1,1年级上,1,上,32,apple,apple,[ˈæp(ə)l],[ˈæpl],"n. 苹果,苹果树,苹果似的东西;[美俚]炸弹,手榴弹,(棒球的)球;[美俚]人,家伙。",牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r033|pear,niujin_shanghai_start1,1年级上,1,上,33,pear,pear,[peə(r)],[per],n. [园艺] 梨树;梨子,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r034|peach,niujin_shanghai_start1,1年级上,1,上,34,peach,peach,[piːtʃ],[piːtʃ],n. 桃子;桃树;桃红色;受人喜欢的人(或物) adj. 桃色的;用桃子制成的 vt. 告发 vi. 告密,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r035|orange,niujin_shanghai_start1,1年级上,1,上,35,orange,orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],adj. 橙色的;橘色的 n. 橙;橙色;桔子,牛津上海版一年级上册.xlsx
niujin_shanghai_start1|g1-upper|r036|hamburger,niujin_shanghai_start1,1年级上,1,上,36,hamburger,hamburger,[ˈhæmbɜːɡə(r)],[ˈhæmbɜːrɡər],"n. 汉堡包,火腿汉堡;牛肉饼,肉饼;碎牛肉",牛津上海版一年级上册.xlsx
