NoteID,CanonicalWord,SenseLabel,British,American,MatchBasis,EvidenceSources,Resolution
KV000921,afraid,担心；害怕,[əˈfreɪd],[əˈfreɪd],afraid,staging:beijing_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000922,parent,父亲；母亲,[ˈpeərənt],[ˈperənt],parent,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000923,ask,问；询问,[ɑːsk],[æsk],ask,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000924,laugh,笑,[lɑːf],[læf],laugh,staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:kepu_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000925,move,搬家；移动,[muːv],[muːv],move,staging:beishida_start1_staging|staging:cambridge_join_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000926,start,开始,[stɑːt],[stɑːrt],start,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000927,weekend,周末,[ˌwiːkˈend],[ˈwiːkend],weekend,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging,auto-exact-unanimous
KV000928,lesson,课；一节课,[ˈlesn],[ˈlesn],lesson,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000929,answer,答复；回答,[ˈɑːnsə(r)],[ˈænsər],answer,staging:beijing_start1_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000930,night,夜；夜晚,[naɪt],[naɪt],night,staging:beijing_start1_staging|staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging,auto-exact-unanimous
KV000931,visit,看望；拜访；参观,[ˈvɪzɪt],[ˈvɪzɪt],visit,staging:beishida_start1_staging|staging:beishida_start3_staging|staging:cambridge_join_start3_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:jijiao_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000932,grandparent,祖父；祖母；外祖父；外祖母,[ˈɡrænpeərənt],[ˈɡrænperənt],grandparent,staging:cambridge_join_start3_staging|staging:guangzhou_start3_staging|staging:hujiao_start3_staging|staging:jiaoke_eec_start3_staging|staging:renjiao_start3_staging|staging:waiyan_start1_staging|staging:waiyan_start3_staging|staging:xiangshao_start3_staging|staging:yilin_start3_staging,auto-exact-unanimous
KV000933,flu,流行性感冒；流感,[fluː],[fluː],flu,staging:beijing_start1_staging,auto-exact-unanimous
KV000934,else,其他的；别的,[els],[els],else,staging:beijing_start1_staging|staging:guangdong_start3_staging|staging:guangzhou_start3_staging|staging:kepu_start3_staging|staging:niujin_shanghai_start1_staging|staging:renjiao_start3_staging,auto-exact-unanimous
